name,Current_Price
20MICRONS,226.7
21STCENMGM,71.02
360ONE,999.95
3IINFOLTD,24.9
3MINDIA,29230
3PLAND,48.05
5PAISA,409.4
63MOONS,857.3
A2ZINFRA,16.99
AAATECH,88
AADHARHFC,443.5
AAKASH,8.35
AAREYDRUGS,53.45
AARON,396
AARTECH,57.7
AARTIDRUGS,446.45
AARTIIND,468.85
AARTIPHARM,905
AARTISURF,562.1
AARVEEDEN,131.6
AARVI,118.93
AAVAS,1844
ABAN,46.8
ABB,5959
ABBOTINDIA,30620
ABCAPITAL,222
ABDL,399.5
ABFRL,85.85
ABINFRA,139.26
ABMINTLLTD,47.7
ABREL,2142.8
ABSLAMC,742.2
ACC,1877.4
ACCELYA,1390
ACCURACY,8.64
ACE,1248.5
ACEINTEG,26.38
ACI,620
ACL,64.5
ACLGATI,68.4
ACMESOLAR,261.7
ADANIENSOL,867.8
ADANIENT,2518
ADANIGREEN,1016
ADANIPORTS,1432.3
ADANIPOWER,543.9
ADFFOODS,234.65
ADL,89
ADOR,972.65
ADROITINFO,11.29
ADSL,219.99
ADVANIHOTR,61.51
ADVENZYMES,306
AEGISLOG,794.6
AEROFLEX,165.87
AETHER,745
AFCONS,422.4
AFFLE,1760
AFFORDABLE,397
AFIL,8.04
AFSL,212.57
AGARIND,970
AGARWALEYE,329
AGI,842
AGIIL,848.95
AGRITECH,161.25
AGROPHOS,33.4
AGSTRA,5.39
AHLADA,68.9
AHLEAST,144.98
AHLUCONT,974.35
AIAENG,3482.1
AIIL,2378
AIRAN,26.99
AIROLAM,94.35
AJANTPHARM,2510
AJAXENGG,653.75
AJMERA,848
AJOONI,5.89
AKASH,29.14
AKG,15.39
AKI,7.83
AKSHAR,0.61
AKSHARCHEM,246.22
AKSHOPTFBR,9.08
AKUMS,569.5
AKZOINDIA,3350
ALANKIT,14.35
ALBERTDAVD,801
ALEMBICLTD,110.5
ALICON,899.5
ALIVUS,1036
ALKALI,103
ALKEM,5102.5
ALKYLAMINE,1950
ALLCARGO,30.54
ALLDIGI,915.7
ALMONDZ,20.54
ALOKINDS,19.7
ALPA,98.8
ALPHAGEO,256.64
ALPSINDUS,2.26
AMBER,6474
AMBICAAGAR,31
AMBIKCO,1482
AMBUJACEM,551.6
AMDIND,50
AMIORG,1178
AMJLAND,57
AMNPLST,224.1
AMRUTANJAN,711.75
ANANDRATHI,1880
ANANTRAJ,561
ANDHRAPAP,77.1
